compound name,mz,charge,rt
"L- Glutamine 0(15N), 0(13C)",147.077,1,11.7
"L- Glutamine 0(15N), 1(13C)",148.080355,1,11.7
"L- Glutamine 0(15N), 2(13C)",149.08371,1,11.7
"L- Glutamine 0(15N), 3(13C)",150.087065,1,11.7
"L- Glutamine 0(15N), 4(13C)",151.09042,1,11.7
"L- Glutamine 0(15N), 5(13C)",152.093775,1,11.7
"L- Glutamine 1(15N), 0(13C)",148.074,1,11.7
"L- Glutamine 1(15N), 1(13C)",149.077355,1,11.7
"L- Glutamine 1(15N), 2(13C)",150.08071,1,11.7
"L- Glutamine 1(15N), 3(13C)",151.084065,1,11.7
"L- Glutamine 1(15N), 4(13C)",152.08742,1,11.7
"L- Glutamine 1(15N), 5(13C)",153.090775,1,11.7
"L- Glutamine 2(15N), 0(13C)",149.0711,1,11.7
"L- Glutamine 2(15N), 1(13C)",150.074455,1,11.7
"L- Glutamine 2(15N), 2(13C)",151.07781,1,11.7
"L- Glutamine 2(15N), 3(13C)",152.081165,1,11.7
"L- Glutamine 2(15N), 4(13C)",153.08452,1,11.7
"L- Glutamine 2(15N), 5(13C)",154.087875,1,11.7
"L-Glutamic acid 0(15N), 0(13C)",148.06,1,12.41
"L-Glutamic acid 0(15N), 1(13C)",149.063355,1,12.41
"L-Glutamic acid 0(15N), 2(13C)",150.06671,1,12.41
"L-Glutamic acid 0(15N), 3(13C)",151.070065,1,12.41
"L-Glutamic acid 0(15N), 4(13C)",152.07342,1,12.41
"L-Glutamic acid 0(15N), 5(13C)",153.076775,1,12.41
"L-Glutamic acid 1(15N), 0(13C)",149.058,1,12.41
"L-Glutamic acid 1(15N), 1(13C)",150.06135,1,12.41
"L-Glutamic acid 1(15N), 2(13C)",151.0647,1,12.41
"L-Glutamic acid 1(15N), 3(13C)",152.06805,1,12.41
"L-Glutamic acid 1(15N), 4(13C)",153.0714,1,12.41
"L-Glutamic acid 1(15N), 5(13C)",154.07475,1,12.41
"Glycine betaine 0(15N), 0(13C)",118.086804,1,7.27
"Glycine betaine 0(15N), 1(13C)",119.090154,1,7.27
"Glycine betaine 0(15N), 2(13C)",120.093504,1,7.27
"Glycine betaine 0(15N), 3(13C)",121.096854,1,7.27
"Glycine betaine 0(15N), 4(13C)",122.100204,1,7.27
"Glycine betaine 0(15N), 5(13C)",123.103554,1,7.27
"Glycine betaine 1(15N), 0(13C)",119.0838,1,7.27
"Glycine betaine 1(15N), 1(13C)",120.087155,1,7.27
"Glycine betaine 1(15N), 2(13C)",121.09051,1,7.27
"Glycine betaine 1(15N), 3(13C)",122.093865,1,7.27
"Glycine betaine 1(15N), 4(13C)",123.09722,1,7.27
"Glycine betaine 1(15N), 5(13C)",124.100575,1,7.27
"Homarine 0(15N, 0(13C)",138.055503,1,6.19
"Homarine 0(15N, 1(13C)",139.058858,1,6.19
"Homarine 0(15N, 2(13C)",140.062213,1,6.19
"Homarine 0(15N, 3(13C)",141.065568,1,6.19
"Homarine 0(15N, 4(13C)",142.068923,1,6.19
"Homarine 0(15N, 5(13C)",143.072278,1,6.19
"Homarine 0(15N, 6(13C)",144.075633,1,6.19
"Homarine 0(15N, 7(13C)",145.078988,1,6.19
"Homarine 1(15N), 0(13C)",139.0525,1,6.19
"Homarine 1(15N), 1(13C)",140.055855,1,6.19
"Homarine 1(15N), 2(13C)",141.05921,1,6.19
"Homarine 1(15N), 3(13C)",142.062565,1,6.19
"Homarine 1(15N), 4(13C)",143.06592,1,6.19
"Homarine 1(15N), 5(13C)",144.069275,1,6.19
"Homarine 1(15N), 6(13C)",145.07263,1,6.19
"Homarine 1(15N), 7(13C)",146.075985,1,6.19
"Guanine 0(15N), 0(13C)",152.057235,1,8.18
"Guanine 0(15N), 1(13C)",153.06059,1,8.18
"Guanine 0(15N), 2(13C)",154.063945,1,8.18
"Guanine 0(15N), 3(13C)",155.0673,1,8.18
"Guanine 0(15N), 4(13C)",156.070655,1,8.18
"Guanine 0(15N), 5(13C)",157.07401,1,8.18
"Guanine 1(15N), 0(13C)",153.0543,1,8.18
"Guanine 1(15N), 1(13C)",154.057655,1,8.18
"Guanine 1(15N), 2(13C)",155.06101,1,8.18
"Guanine 1(15N), 3(13C)",156.064365,1,8.18
"Guanine 1(15N), 4(13C)",157.06772,1,8.18
"Guanine 1(15N), 5(13C)",158.071075,1,8.18
"Guanine 2(15N), 0(13C)",154.0513,1,8.18
"Guanine 2(15N), 1(13C)",155.054655,1,8.18
"Guanine 2(15N), 2(13C)",156.05801,1,8.18
"Guanine 2(15N), 3(13C)",157.061365,1,8.18
"Guanine 2(15N), 4(13C)",158.06472,1,8.18
"Guanine 2(15N), 5(13C)",159.068075,1,8.18
"Guanine 3(15N), 0(13C)",155.0483,1,8.18
"Guanine 3(15N), 1(13C)",156.051655,1,8.18
"Guanine 3(15N), 2(13C)",157.05501,1,8.18
"Guanine 3(15N), 3(13C)",158.058365,1,8.18
"Guanine 3(15N), 4(13C)",159.06172,1,8.18
"Guanine 3(15N), 5(13C)",160.065075,1,8.18
"Guanine 4(15N), 0(13C)",156.0453,1,8.18
"Guanine 4(15N), 1(13C)",157.048655,1,8.18
"Guanine 4(15N), 2(13C)",158.05201,1,8.18
"Guanine 4(15N), 3(13C)",159.055365,1,8.18
"Guanine 4(15N), 4(13C)",160.05872,1,8.18
"Guanine 4(15N), 5(13C)",161.062075,1,8.18
"Guanine 5(15N), 0(13C)",157.0424,1,8.18
"Guanine 5(15N), 1(13C)",158.045755,1,8.18
"Guanine 5(15N), 2(13C)",159.04911,1,8.18
"Guanine 5(15N), 3(13C)",160.052465,1,8.18
"Guanine 5(15N), 4(13C)",161.05582,1,8.18
"Guanine 5(15N), 5(13C)",162.059175,1,8.18