compound_name,rf_h2o,rf_matrix,rf_ratio
Trimethylamine,7076143.8,6755380.4,0.9546697454056827
Propylamine,3407874.55,3109026.35,0.9123065724353029
Urea,1594903.9666666666,910060.5583333333,0.5706052385306627
Ethanolamine,25850879.333333332,-8461697.583333334,-0.32732726319380656
Glycine,3119058.5,1053619.375,0.3378004532457471
Trimethylamine N-oxide,164623313.6875,159340796.9375,0.9679114905922277
beta-Alanine,45370888.75,52502010.375,1.15717394614625
L-Alanine,43935481.75,4370193,0.09946842110135733
Sarcosine,46557463,42159345.1875,0.9055335594102282
4-Aminobutyric acid,96859459.875,-85964831.375,-0.8875212755257995
Dimethylglycine,237335366,142101397.375,0.5987367149276859
Choline,406062906,407397220.75,1.003285980399303
L-Serine,11044295.5625,4778149.75,0.432635085050043
Hypotaurine,790569.6666666666,NA,NA
Cytosine,525534484,483472062.25,0.9199625847007216
Creatinine,590319211.6875,496319173.5625,0.8407640539831165
L-Proline,176400844.5,94015136,0.5329630720673789
Homocysteine thiolactone,19421493,NA,NA
Glycine betaine,989620928,850104320,0.859020152007133
L-Valine,483889518.5,840481780,1.7369290878740122
L-Homoserine,55213009.8125,65377712.70833333,1.1840997788447332
L-Threonine,59124185.375,26154549,0.44236633171539913
Dimethylsulfonioacetate,904618272,454500606.9375,0.5024225366713574
Phenylethylamine,195231266.75,178361963.75,0.9135932308342716
5-Methylcytosine,674581436.8125,649143993.375,0.962291515820987
Melamine,752881082.4375,738723102.875,0.981194932516218
Pipecolic acid,166855906.15,135487574.4,0.8120034676998457
Hydroxyproline,107543428.16666667,60594669.0625,0.5634437184631376
Creatine,406151459.8125,395610679.6875,0.9740471691770697
beta-Alaninebetaine,584389335.5625,520883017.9375,0.8913287533492164
L-Isoleucine,50834352.0625,-6270838.75,-0.12335829012416853
L-Leucine,82437346.5625,62874831,0.762698383945817
L-Asparagine,3697058.8125,2431696.125,0.6577380150887172
L-Ornithine,11384648.2,9593908.95,0.8427057895385823
L-Aspartic acid,5688538.0625,-3424789.5,-0.6020509069943487
Dimethylsulfoniopropionate,498516968.75,627439605.3333334,1.2586123335111317
Adenine,924527432,708739936.125,0.7665969787308593
Hypoxanthine,12277149.375,7526807.333333333,0.6130745096789484
Homarine,1547230367,1123381360,0.7260595344817194
Trigonelline,817711926,764844764,0.9353474489988055
N-Methyltaurine,NA,NA,NA
Ectoine,67113.3125,197806459.90625,2947.350570816334
Proline betaine,1547432985.3333333,1155453127,0.7466902527937928
(3-Carboxypropyl)trimethylammonium,563998448,269972287.75,0.4786755862668615
Acetylcholine,104189968.125,NA,NA
L-Glutamine,75644502.0625,43089470,0.5696312200508379
L-Lysine,6192.75,NA,NA
beta-Glutamic acid,74050171.4375,11058567.5,0.14933885074572284
L-Glutamic acid,40727305.75,-69528914.1875,-1.7071817766266064
O-Acetyl-L-serine,5435515.166666667,NA,NA
Hydroxyisoleucine,25445159.125,26612207.75,1.0458652515893827
L-Methionine,34530311.375,39039295.166666664,1.1305804556089574
N6-Methyladenine,1192354724.3125,1156599789.5625,0.9700131730759771
Dimethylsulfoxonium propionate,415514176,211688911.5,0.5094625496002332
Guanine,196746333.75,132067336.5,0.6712569123032006
L-Histidine,213277345.875,112790100,0.5288423837855958
5-Hydroxyectoine,10833605,441546275,40.757095629755746
Betonicine,472938192.25,-249099.875,-5.267070392748557e-4
(R)-2-(Methylamino)pentanedioic acid,199555010.4,198038179.4,0.9923989330212277
L-2-Aminoadipic acid,231288527.93333334,171927183.8,0.7433450562215362
Carnitine,1168008511,1075400352,0.9207127703883657
L-Hydroxylysine,11612070.333333334,NA,NA
L-Methionine S-oxide,57440431.8125,53962300,0.939448021145567
Hordenine,446488212.1875,801815951.3125,1.7958278167840684
"2,3-Pyridinedicarboxylic acid",33167.55,-46662.13333333333,-1.4068610232993792
Taurocyamine,21860024.55,20058218.1,0.9175752778374625
L-Arginine,80211652.58333333,NA,NA
Succinylglycine,17602548.5,20727873.208333332,1.1775495581411597
Citrulline,52918760.5625,60129652.5625,1.1362634332957124
Arsenobetaine,1406551896,NA,NA
Gonyol,88148732,86698552.5,0.9835484927905713
Glucosamine,25067900.25,21470250.7,0.8564838094088075
L-Tyrosine,14393529.9375,35088871.625,2.4378225339693533
Choline sulfate,290198502.4,271593650.6,0.9358892218735311
Phosphocholine,47340301.95,57791429.2,1.2207659609150423
N6-Acetyl-L-lysine,204759925.8125,158885179.6875,0.7759583768993558
"N6,N6,N6-Trimethyl-L-lysine",264710480,151622843.3125,0.5727874593877054
O-Acetylcarnitine,859949388.75,846389950.1875,0.9842322830391104
O-Propionylcarnitine,442578055.75,414614968.7916667,0.9368177283192529
O-Succinylhomoserine,75889969.8,NA,NA
N-Acetyl-D-glucosamine,6008525.083333333,10304175.208333334,1.7149258870393056
L-Cystathionine,18686419.5,NA,NA
Carnosine,101008854.75,18305.75,1.812291610008577e-4
Ergothioneine,38687975.5,63642122.8125,1.6450104196457631
Butyrylcarnitine,1470576463.1666667,1096364034.75,0.7455335116605524
L-Cystine,14541667.75,14605503.583333334,1.0043898564064864
Anserine,29295.75,NA,NA
Cytidine,114550223.75,65285687.9375,0.5699306889175763
Muramic acid,90015906.08333333,77926523.04166667,0.8656972576549442
Deoxyadenosine,557849908.0625,519343032.4375,0.9309726952205829
2-O-alpha-D-Glucosylglycerol,2303507.1666666665,1618371.125,0.7025683047220098
Glycerophosphocholine,1148105.125,-808750.625,-0.7044221015910891
2-Heptyl-3-hydroxy-quinolone,76815902.0625,53319342.25,0.694118546009101
O-Methylmalonyl-L-carnitine,451262106.9375,425201037.6875,0.9422484874104232
Adenosine,500129233.5625,535086614.6875,1.0698966962518728
L-Homocystine,12345594.25,9580769.25,0.7760476373990665
Guanosine,18107562.5,36436456.6875,2.0122231629740335
Ophthalmic acid,82771702.4,37951167.35,0.4585041294257589
L-Arginosuccinic acid,10498200.083333334,10532056.75,1.003224997275525
N-Acetylmuramic acid,4950.8,NA,NA
Glutamylphenylalanine,42116610.833333336,25845563.1875,0.6136667380425692
Glutathione,17769198.625,NA,NA
Thiamine monophosphate,26724040.416666668,24794824.166666668,0.9278097091637075
"Cys-Gly, oxidized",53945934,NA,NA
Thiamine diphosphate,1034638.4375,NA,NA
Chitobiose,30006511,18308635.625,0.6101554300998207
Riboflavin-5-phosphate,20868263.9375,19391973.6875,0.9292566811297069
Sodium taurocholate,123287696,NA,NA
Glutathione disulfide,3118219.1875,NA,NA
